sr_no,scn_no,sheet,reason
71,39/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
72,40/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
73,41/2025-26,ADD_JD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
74,42/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
75,43/2025-26,ADD_JD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
76,44/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
77,45/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
78,46/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
79,46/2025-26,ADD_JD,"{'message': ""Could not find the 'date_of_adjudication' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
80,47/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
81,48/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
82,48/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
83,48/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
84,49/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
85,49/2025-26,ADD_JD,"{'message': ""Could not find the 'gstins' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
86,50/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
87,50/2025-26,ADD_JD,"{'message': ""Could not find the 'gstins' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
88,50/2025-26,ADD_JD,"{'message': ""Could not find the 'gstins' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
89,51/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
90,52/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
91,52/2025-26,ADD_JD,"{'message': ""Could not find the 'date_of_bo_portal_upload' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
92,53/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
93,54/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
94,55/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
95,56/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
96,57/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
97,58/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
98,59/2025-26,ADD_JD,"{'message': ""Could not find the 'group_name' column of 'dggi_scn_records' in the schema cache"", 'code': 'PGRST204', 'hint': None, 'details': None}"
